Fighter,Elo,Last_Fight,Weight Class,Is_Champion,Title_Defenses,Is_Former_Champion,Status,Record
Islam Makhachev,1647.848773327103,2025-11-15,Welterweight,True,0,False,Champion (0 defenses),17-1-0
Merab Dvalishvili,1607.574317265716,2025-10-04,Bantamweight,True,2,False,Champion (2 defenses),14-2-0
Ilia Topuria,1606.7219264706139,2025-06-28,Lightweight,True,0,False,Champion (0 defenses),9-0-0
Khamzat Chimaev,1561.5321086017175,2025-08-16,Middleweight,True,0,False,Champion (0 defenses),9-0-0
Alexandre Pantoja,1494.9165385890992,2025-06-28,Flyweight,True,1,False,Champion (1 defenses),14-3-0
Alex Pereira,1490.3426887788064,2025-10-04,Light Heavyweight,True,0,False,Champion (0 defenses),10-2-0
Alexander Volkanovski,1482.6173963943186,2025-04-12,Featherweight,True,0,False,Champion (0 defenses),14-3-0
Valentina Shevchenko,1452.3275464044013,2025-11-15,Women's Flyweight,False,0,True,Former Champion,15-3-1
Tom Aspinall,1421.0057217310589,2025-10-25,Heavyweight,True,1,False,Champion (1 defenses),8-1-1
Kamaru Usman,1325.6338840172991,2025-06-14,Welterweight,False,0,True,Former Champion,16-3-0
Aljamain Sterling,1311.7405821160658,2025-08-23,Catch Weight,False,0,True,Former Champion,17-5-0
Dricus Du Plessis,1302.8536282399684,2025-08-16,Middleweight,False,0,True,Former Champion,9-1-0
Max Holloway,1290.7917057734946,2025-07-19,Lightweight,False,0,True,Former Champion,23-8-0
Leon Edwards,1283.645509034803,2025-11-15,Welterweight,False,0,True,Former Champion,14-5-1
Zhang Weili,1283.0064645653047,2025-11-15,Women's Flyweight,False,0,True,Former Champion,10-3-0
Charles Oliveira,1281.7633551506026,2025-10-11,Lightweight,False,0,True,Former Champion,24-11-1
Ciryl Gane,1268.1361024791827,2025-10-25,Heavyweight,False,0,True,Former Champion,10-2-1
Magomed Ankalaev,1263.9064044082888,2025-10-04,Light Heavyweight,False,0,True,Former Champion,12-2-2
Jack Della Maddalena,1261.4515571723791,2025-11-15,Welterweight,False,0,True,Former Champion,8-1-0
Jon Jones,1247.4196716451595,2024-11-16,Heavyweight,False,0,True,Former Champion,22-1-1
Petr Yan,1236.4025447674528,2025-07-26,Bantamweight,False,0,True,Former Champion,11-4-0
Dustin Poirier,1235.904496310004,2025-07-19,Lightweight,False,0,True,Former Champion,22-9-1
Deiveson Figueiredo,1221.6452265007024,2025-10-11,Bantamweight,False,0,True,Former Champion,14-5-1
Tatiana Suarez,1213.3578036592912,2025-09-13,Women's Strawweight,False,0,True,Former Champion,8-1-0
Belal Muhammad,1208.5130855176558,2025-05-10,Welterweight,False,0,True,Former Champion,15-4-1
Robert Whittaker,1195.3667628396493,2025-07-26,Middleweight,False,0,True,Former Champion,17-7-0
Jiri Prochazka,1192.8522582009377,2025-10-04,Light Heavyweight,False,0,True,Former Champion,6-2-0
Rose Namajunas,1187.9223651394157,2025-06-14,Women's Flyweight,False,0,True,Former Champion,12-6-0
Nassourdine Imavov,1177.6143458379204,2025-09-06,Middleweight,False,0,False,,9-2-1
Michael Chiesa,1175.14152273995,2025-06-14,Welterweight,False,0,True,Former Champion,14-7-0
Sean O'Malley,1172.207819003774,2025-06-07,Bantamweight,False,0,True,Former Champion,10-3-1
Brendan Allen,1167.68441475239,2025-10-18,Middleweight,False,0,False,,14-4-0
Alexander Volkov,1166.943419908713,2025-10-25,Heavyweight,False,0,False,,13-5-0
Anthony Hernandez,1163.5342852241963,2025-08-09,Middleweight,False,0,False,,9-2-0
Lerone Murphy,1163.5030444991248,2025-08-16,Featherweight,False,0,False,,9-0-1
Carlos Ulberg,1159.8527799132669,2025-09-27,Light Heavyweight,False,0,False,,9-1-0
Michael Morales,1158.293943530352,2025-11-15,Welterweight,False,0,False,,7-0-0
Sean Brady,1150.1428949898987,2025-11-15,Welterweight,False,0,False,,8-2-0
Beneil Dariush,1147.634013351436,2025-11-15,Lightweight,False,0,False,,17-7-1
Manon Fiorot,1147.0330427367226,2025-10-18,Women's Flyweight,False,0,False,,8-1-0
Erin Blanchfield,1145.9839637040818,2025-11-15,Women's Flyweight,False,0,False,,8-1-0
SuYoung You,1141.0807180563625,2025-08-23,Bantamweight,False,0,True,Former Champion,3-0-0
Norma Dumont,1139.8101423477658,2025-11-01,Women's Bantamweight,False,0,False,,9-2-0
Kelvin Gastelum,1138.0903855317742,2025-09-13,Middleweight,False,0,True,Former Champion,14-10-1
Carlos Prates,1134.586496388512,2025-11-15,Welterweight,False,0,False,,6-1-0
Rinya Nakamura,1132.3027774915447,2025-08-02,Bantamweight,False,0,True,Former Champion,4-1-0
Julianna Pena,1131.424275696007,2025-06-07,Women's Bantamweight,False,0,True,Former Champion,8-4-0
Cory Sandhagen,1131.0196341659303,2025-10-04,Bantamweight,False,0,False,,11-5-0
Umar Nurmagomedov,1128.656495404848,2025-10-25,Bantamweight,False,0,False,,7-1-0
Joel Alvarez,1128.1911585618943,2025-10-11,Welterweight,False,0,False,,8-2-0
Mario Bautista,1127.778416029181,2025-10-25,Bantamweight,False,0,False,,10-3-0
Aiemann Zahabi,1126.110716465033,2025-10-18,Bantamweight,False,0,False,,8-2-0
Neil Magny,1123.6809393366987,2025-09-27,Welterweight,False,0,False,,24-12-0
Steve Garcia,1121.8920038791482,2025-11-01,Featherweight,False,0,False,,8-2-0
Jailton Almeida,1121.1008446611072,2025-10-25,Heavyweight,False,0,False,,8-2-0
Benoit Saint Denis,1120.0179464562966,2025-11-15,Lightweight,False,0,False,,8-3-0
Azamat Murzakanov,1119.7514513884964,2025-10-25,Light Heavyweight,False,0,False,,6-0-0
Gabriel Bonfim,1118.883875195209,2025-11-08,Welterweight,False,0,False,,6-1-0
Drakkar Klose,1118.8112808372741,2025-08-16,Lightweight,False,0,False,,10-3-0
Jose Aldo,1118.5871007576045,2025-05-10,Featherweight,False,0,True,Former Champion,14-9-0
Sergei Pavlovich,1118.2578767438313,2025-08-23,Heavyweight,False,0,False,,8-3-0
Mateusz Gamrot,1117.8325834832349,2025-10-11,Lightweight,False,0,False,,8-4-0
Daniel Rodriguez,1117.780607507339,2025-07-19,Welterweight,False,0,False,,10-4-0
Curtis Blaydes,1117.1324142325552,2025-06-21,Heavyweight,False,0,False,,14-5-1
Mackenzie Dern,1116.5298525915882,2025-10-25,Women's Strawweight,False,0,False,,11-5-0
Caio Borralho,1114.9614843303498,2025-09-06,Middleweight,False,0,False,,7-1-0
