Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Fight URL
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Tom Aspinall,Ciryl Gane,Draw,CNC,1,4:35,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Women's Strawweight,Mackenzie Dern,Virna Jandiroba,Draw,U-DEC,5,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Bantamweight,Umar Nurmagomedov,Mario Bautista,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Alexander Volkov,Jailton Almeida,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Light Heavyweight,Azamat Murzakanov,Aleksandar Rakic,Draw,"KO/TKO

      

        Punch",1,3:11,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Lightweight,Quillan Salkilld,Nasrat Haqparast,Draw,"KO/TKO

      

        Kick",1,2:30,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Middleweight,Ikram Aliskerov,JunYong Park,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Lightweight,Ludovit Klein,Mateusz Rebecki,Draw,M-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Valter Walker,Louie Sutherland,Draw,"SUB

      

        Heel Hook",1,1:24,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Featherweight,Nathaniel Wood,Jose Delgado,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Hamdy Abdelwahab,Chris Barnett,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Flyweight,Mitch Raposo,Azat Maksum,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Women's Strawweight,Mizuki,Jaqueline Amorim,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Middleweight,Brendan Allen,Reinier de Ridder,Draw,KO/TKO,4,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Welterweight,Mike Malott,Kevin Holland,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Bantamweight,Aiemann Zahabi,Marlon Vera,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Women's Flyweight,Manon Fiorot,Jasmine Jasudavicius,Draw,"KO/TKO

      

        Punches",1,1:14,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Bantamweight,Charles Jourdain,Davey Grant,Draw,"SUB

      

        Guillotine Choke",1,3:05,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Lightweight,Kyle Nelson,Matt Frevola,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Lightweight,Drew Dober,Kyle Prepolec,Draw,"KO/TKO

      

        Punches",3,1:16,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Bantamweight,Aoriqileng,Cody Gibson,Draw,"KO/TKO

      

        Punch",1,0:21,http://ufcstats.com/event-details/38e5d9dcb0fddc42
