Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Fight URL,Event URL,method
UFC 321: Aspinall vs. Gane,"November 01, 2025",Women's Strawweight,Mackenzie Dern,Virna Jandiroba,Mackenzie Dern,U-DEC,5,5:00,http://ufcstats.com/fight-details/7d3da3c4153717de,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Bantamweight,Umar Nurmagomedov,Mario Bautista,Umar Nurmagomedov,U-DEC,3,5:00,http://ufcstats.com/fight-details/e69f9b4b9cae12a4,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Alexander Volkov,Jailton Almeida,Alexander Volkov,S-DEC,3,5:00,http://ufcstats.com/fight-details/b42a3386a7dccb3d,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Light Heavyweight,Azamat Murzakanov,Aleksandar Rakic,Azamat Murzakanov,KO/TKOPunch,1,3:11,http://ufcstats.com/fight-details/ef12d2aaaadaf6d0,http://ufcstats.com/event-details/7956f026e2672c47,KO
UFC 321: Aspinall vs. Gane,"November 01, 2025",Lightweight,Quillan Salkilld,Nasrat Haqparast,Quillan Salkilld,KO/TKOKick,1,2:30,http://ufcstats.com/fight-details/cb902d73389ed34b,http://ufcstats.com/event-details/7956f026e2672c47,KO
UFC 321: Aspinall vs. Gane,"November 01, 2025",Middleweight,Ikram Aliskerov,JunYong Park,Ikram Aliskerov,U-DEC,3,5:00,http://ufcstats.com/fight-details/0230a9dd2739add4,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Lightweight,Ludovit Klein,Mateusz Rebecki,Ludovit Klein,M-DEC,3,5:00,http://ufcstats.com/fight-details/e9c034cec33b3479,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Valter Walker,Louie Sutherland,Valter Walker,SUBHeel Hook,1,1:24,http://ufcstats.com/fight-details/f2c2a49fed32bd75,http://ufcstats.com/event-details/7956f026e2672c47,SUB
UFC 321: Aspinall vs. Gane,"November 01, 2025",Featherweight,Nathaniel Wood,Jose Delgado,Nathaniel Wood,U-DEC,3,5:00,http://ufcstats.com/fight-details/bd7394f07247d9ca,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Hamdy Abdelwahab,Chris Barnett,Hamdy Abdelwahab,U-DEC,3,5:00,http://ufcstats.com/fight-details/3fdb4c4b39218cf4,http://ufcstats.com/event-details/7956f026e2672c47,DEC
