Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Event URL,Fight URL,method,Is_Title_Fight,Is_Main_Event
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Welterweight,Islam Makhachev,Jack Della Maddalena,Islam Makhachev,U-DEC,5,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/856f6ee049373843,DEC,True,True
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Women's Flyweight,Valentina Shevchenko,Zhang Weili,Valentina Shevchenko,U-DEC,5,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/7606f6b6c19f2d73,DEC,True,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Welterweight,Michael Morales,Sean Brady,Michael Morales,KO/TKOPunches,1,3:27,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/477af74ea3cbba8b,KO,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Welterweight,Carlos Prates,Leon Edwards,Carlos Prates,KO/TKOPunch,2,1:28,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/3c60884853766487,KO,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Lightweight,Benoit Saint Denis,Beneil Dariush,Benoit Saint Denis,KO/TKOPunch,1,0:16,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/9b5f190cd3f5ce16,KO,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Middleweight,Bo Nickal,Rodolfo Vieira,Bo Nickal,KO/TKOKick,3,2:24,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/292b83afa418635f,KO,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Middleweight,Gregory Rodrigues,Roman Kopylov,Gregory Rodrigues,U-DEC,3,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/ebb012c5f3fd0cbb,DEC,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Women's Flyweight,Erin Blanchfield,Tracy Cortez,Erin Blanchfield,SUBRear Naked Choke,2,4:44,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/909cd8633507a0c8,SUB,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Featherweight,Ethyn Ewing,Malcolm Wellmaker,Ethyn Ewing,U-DEC,3,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/e313286b307334a7,DEC,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Middleweight,Kyle Daukaus,Gerald Meerschaert,Kyle Daukaus,SUBD'Arce Choke,1,0:50,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/9bbdc2a2ab334541,SUB,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Featherweight,Pat Sabatini,Chepe Mariscal,Pat Sabatini,U-DEC,3,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/e3cbd663732f4a98,DEC,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Women's Strawweight,Fatima Kline,Angela Hill,Fatima Kline,U-DEC,3,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/6c2c6a6e3f4d04db,DEC,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Middleweight,Baisangur Susurkaev,Eric McConico,Baisangur Susurkaev,KO/TKOPunch,3,1:38,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/c037cf1f7b429d5e,KO,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Lightweight,Matheus Camilo,Viacheslav Borshchev,Matheus Camilo,U-DEC,3,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/1a5378e32e8519ef,DEC,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Welterweight,Gabriel Bonfim,Randy Brown,Gabriel Bonfim,KO/TKOKnee,2,1:40,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/4e224ebb6394611d,KO,False,True
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Flyweight,Joseph Morales,Matt Schnell,Joseph Morales,SUBGuillotine Choke,1,2:54,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/f7e9bd2d6f81aeae,SUB,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Welterweight,Uros Medic,Muslim Salikhov,Uros Medic,KO/TKOPunch,1,1:03,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/b23fa678cc65cf5b,KO,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Lightweight,Chris Padilla,Ismael Bonfim,Chris Padilla,KO/TKOPunches,2,4:30,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/20971ed9a842b0cb,KO,False,False
