Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Fight URL,Event URL,method,Fighter1_Elo_Start,Fighter2_Elo_Start,Fighter1_Elo_End,Fighter2_Elo_End
UFC 2: No Way Out,1994-09-09,Open Weight,Scott Morris,Sean Daugherty,Scott Morris,SUBGuillotine Choke,1,0:20,http://ufcstats.com/fight-details/4acab67848e78327,http://ufcstats.com/event-details/a6a9ab5a824e8f66,SUB,1000.0,1000.0,1021.0,979.0
UFC 2: No Way Out,1994-09-09,Open Weight,Royce Gracie,Patrick Smith,Royce Gracie,KO/TKOPunches,1,1:17,http://ufcstats.com/fight-details/00835554f95fa911,http://ufcstats.com/event-details/a6a9ab5a824e8f66,KO,1000.0,1000.0,1021.0,979.0
UFC 2: No Way Out,1994-09-09,Open Weight,Royce Gracie,Remco Pardoel,Royce Gracie,SUBGi Choke,1,1:31,http://ufcstats.com/fight-details/aa161c7159741766,http://ufcstats.com/event-details/a6a9ab5a824e8f66,SUB,1021.0,1000.0,1040.1106777714813,980.8893222285187
UFC 2: No Way Out,1994-09-09,Open Weight,Patrick Smith,Johnny Rhodes,Patrick Smith,SUBGuillotine Choke,1,1:07,http://ufcstats.com/fight-details/8fbdde20b712b8da,http://ufcstats.com/event-details/a6a9ab5a824e8f66,SUB,979.0,1000.0,1001.969190891809,977.030809108191
UFC 2: No Way Out,1994-09-09,Open Weight,Royce Gracie,Jason DeLucia,Royce Gracie,SUBArmbar,1,1:07,http://ufcstats.com/fight-details/5655639baecd8f6a,http://ufcstats.com/event-details/a6a9ab5a824e8f66,SUB,1040.1106777714813,1000.0,1057.578723379054,982.5319543924273
UFC 2: No Way Out,1994-09-09,Open Weight,Remco Pardoel,Orlando Wiet,Remco Pardoel,KO/TKOElbows,1,1:29,http://ufcstats.com/fight-details/c4aa04781989699e,http://ufcstats.com/event-details/a6a9ab5a824e8f66,KO,980.8893222285187,1000.0,1003.6783279194206,977.2109943090982
UFC 2: No Way Out,1994-09-09,Open Weight,Johnny Rhodes,Fred Ettish,Johnny Rhodes,SUBBulldog Choke,1,3:07,http://ufcstats.com/fight-details/b72acedda7ddc006,http://ufcstats.com/event-details/a6a9ab5a824e8f66,SUB,977.030809108191,1000.0,1000.1884065382897,976.8424025699013
UFC 2: No Way Out,1994-09-09,Open Weight,Patrick Smith,Ray Wizard,Patrick Smith,SUBGuillotine Choke,1,0:58,http://ufcstats.com/fight-details/4b9ae533ccb3fcdf,http://ufcstats.com/event-details/a6a9ab5a824e8f66,SUB,1001.969190891809,1000.0,1022.7884906926904,979.1807001991186
UFC 2: No Way Out,1994-09-09,Open Weight,Royce Gracie,Minoki Ichihara,Royce Gracie,SUBArmbar,1,5:08,http://ufcstats.com/fight-details/fcd8e8ec45eb6b9f,http://ufcstats.com/event-details/a6a9ab5a824e8f66,SUB,1057.578723379054,1000.0,1073.6141441901182,983.964579188936
UFC 2: No Way Out,1994-09-09,Open Weight,Jason DeLucia,Scott Baker,Jason DeLucia,SUBTriangle Choke,1,6:41,http://ufcstats.com/fight-details/c53325be8ce33b8b,http://ufcstats.com/event-details/a6a9ab5a824e8f66,SUB,982.5319543924273,1000.0,1005.1647690576178,977.3671853348095
UFC 2: No Way Out,1994-09-09,Open Weight,Remco Pardoel,Alberta Cerra Leon,Remco Pardoel,SUBEzekiel Choke,1,9:51,http://ufcstats.com/fight-details/17ee4caf06981b81,http://ufcstats.com/event-details/a6a9ab5a824e8f66,SUB,1003.6783279194206,1000.0,1024.3413668923108,979.3369610271097
UFC 2: No Way Out,1994-09-09,Open Weight,Orlando Wiet,Robert Lucarelli,Orlando Wiet,KO/TKO,1,2:50,http://ufcstats.com/fight-details/3b020d4914b44fc8,http://ufcstats.com/event-details/a6a9ab5a824e8f66,KO,977.2109943090982,1000.0,1000.3513267210512,976.8596675880469
UFC 2: No Way Out,1994-09-09,Open Weight,Frank Hamaker,Thaddeus Luster,Frank Hamaker,SUBKeylock,1,4:52,http://ufcstats.com/fight-details/d917c8c7461b9831,http://ufcstats.com/event-details/a6a9ab5a824e8f66,SUB,1000.0,1000.0,1021.0,979.0
UFC 2: No Way Out,1994-09-09,Open Weight,Johnny Rhodes,David Levicki,Johnny Rhodes,KO/TKOPunches,1,12:13,http://ufcstats.com/fight-details/ccee020be2e8d9f6,http://ufcstats.com/event-details/a6a9ab5a824e8f66,KO,1000.1884065382897,1000.0,1021.1710871219915,979.0173194162982
UFC 2: No Way Out,1994-09-09,Open Weight,Patrick Smith,Scott Morris,Patrick Smith,KO/TKOElbows,1,0:30,http://ufcstats.com/fight-details/8ea72cf82fac07f6,http://ufcstats.com/event-details/a6a9ab5a824e8f66,KO,1022.7884906926904,1021.0,1043.624342705704,1000.1641479869863
UFC 3: The American Dream,1994-12-16,Open Weight,Steve Jennum,Harold Howard,Steve Jennum,KO/TKOPunches,1,1:27,http://ufcstats.com/fight-details/323f543eb8abdb36,http://ufcstats.com/event-details/1a49e0670dfaca31,KO,1000.0,1000.0,1021.0,979.0
UFC 3: The American Dream,1994-12-16,Open Weight,Ken Shamrock,Felix Lee Mitchell,Ken Shamrock,SUBRear Naked Choke,1,4:34,http://ufcstats.com/fight-details/5167a5aec41f8b6d,http://ufcstats.com/event-details/1a49e0670dfaca31,SUB,1000.0,1000.0,1021.0,979.0
UFC 3: The American Dream,1994-12-16,Open Weight,Harold Howard,Roland Payne,Harold Howard,KO/TKOPunches,1,0:46,http://ufcstats.com/fight-details/ca837b002a318766,http://ufcstats.com/event-details/1a49e0670dfaca31,KO,979.0,1000.0,1001.969190891809,977.030809108191
