Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Event URL,Fight URL,method,Is_Title_Fight,Is_Main_Event,Fighter1_Elo_Start,Fighter2_Elo_Start,Fighter1_Elo_End,Fighter2_Elo_End
UFC 2: No Way Out,1994-03-11,Open Weight,Scott Morris,Sean Daugherty,Scott Morris,SUBGuillotine Choke,1,0:20,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/4acab67848e78327,SUB,False,False,1000.0,1000.0,1020.6,979.4
UFC 2: No Way Out,1994-03-11,Open Weight,Royce Gracie,Patrick Smith,Royce Gracie,KO/TKOPunches,1,1:17,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/00835554f95fa911,KO,True,True,1000.0,1000.0,1033.99,966.01
UFC 2: No Way Out,1994-03-11,Open Weight,Royce Gracie,Remco Pardoel,Royce Gracie,SUBGi Choke,1,1:31,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/aa161c7159741766,SUB,False,False,1033.99,1000.0,1052.2651291544353,981.7248708455649
UFC 2: No Way Out,1994-03-11,Open Weight,Patrick Smith,Johnny Rhodes,Patrick Smith,SUBGuillotine Choke,1,1:07,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/8fbdde20b712b8da,SUB,False,False,966.01,1000.0,989.0031538787241,977.0068461212759
UFC 2: No Way Out,1994-03-11,Open Weight,Royce Gracie,Jason DeLucia,Royce Gracie,SUBArmbar,1,1:07,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/5655639baecd8f6a,SUB,False,False,1052.2651291544353,1000.0,1069.3314590353282,982.9336701191071
UFC 2: No Way Out,1994-03-11,Open Weight,Remco Pardoel,Orlando Wiet,Remco Pardoel,KO/TKOElbows,1,1:29,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/c4aa04781989699e,KO,False,False,981.7248708455649,1000.0,1003.6055594775866,978.1193113679783
UFC 2: No Way Out,1994-03-11,Open Weight,Johnny Rhodes,Fred Ettish,Johnny Rhodes,SUBBulldog Choke,1,3:07,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/b72acedda7ddc006,SUB,False,False,977.0068461212759,1000.0,999.2206393330816,977.7862067881942
UFC 2: No Way Out,1994-03-11,Open Weight,Patrick Smith,Ray Wizard,Patrick Smith,SUBGuillotine Choke,1,0:58,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/4b9ae533ccb3fcdf,SUB,False,False,989.0031538787241,1000.0,1010.3718078618845,978.6313460168396
UFC 2: No Way Out,1994-03-11,Open Weight,Royce Gracie,Minoki Ichihara,Royce Gracie,SUBArmbar,1,5:08,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/fcd8e8ec45eb6b9f,SUB,False,False,1069.3314590353282,1000.0,1085.3009248468984,984.0305341884298
UFC 2: No Way Out,1994-03-11,Open Weight,Jason DeLucia,Scott Baker,Jason DeLucia,SUBTriangle Choke,1,6:41,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/c53325be8ce33b8b,SUB,False,False,982.9336701191071,1000.0,1004.7291573616144,978.2045127574927
