Fighter,Elo,Last_Fight,Status
Islam Makhachev,1565.3582127814175,2025-02-01,Transition Champion
Ilia Topuria,1494.4714079475486,2025-07-12,Champion
Merab Dvalishvili,1464.3216036972976,2025-10-11,Champion
Alexandre Pantoja,1426.2142490331416,2025-07-12,Champion
Alex Pereira,1417.7853764455333,2025-10-11,Champion
Khamzat Chimaev,1383.617719416876,2025-08-23,Champion
Tom Aspinall,1381.5153111904074,2024-08-03,Champion
Alexander Volkanovski,1335.5634273605783,2025-04-26,Champion
Jack Della Maddalena,1325.9121326437264,2025-05-17,Champion
Max Holloway,1209.2515465076751,2025-07-26,
Belal Muhammad,1203.1753853001571,2025-05-17,
Dricus Du Plessis,1192.8610022184137,2025-08-23,
Valentina Shevchenko,1181.7198447991564,2025-05-17,
Leon Edwards,1181.6170419282428,2025-03-29,
Magomed Ankalaev,1181.5631212031603,2025-10-11,
Nassourdine Imavov,1177.446546539623,2025-09-13,
Beneil Dariush,1176.107735966938,2025-07-12,
Kamaru Usman,1172.7524581112255,2025-06-21,
Alexander Volkov,1167.3872027729894,2025-11-01,
Dustin Poirier,1167.233600797215,2025-07-26,
Charles Oliveira,1164.873984587695,2025-10-18,
Anthony Hernandez,1164.4767044533467,2025-08-16,
Aljamain Sterling,1163.3678723506187,2025-09-06,
Lerone Murphy,1163.3407320446645,2025-08-23,
Brendan Allen,1162.2040064818761,2025-10-25,
Carlos Ulberg,1159.7763102626652,2025-10-04,
Curtis Blaydes,1159.2402709168052,2025-06-28,
Petr Yan,1156.102729971409,2025-08-02,
Sean Brady,1155.8866318707965,2025-03-29,
Ciryl Gane,1153.573095425602,2024-12-14,
Cory Sandhagen,1153.3055943092465,2025-10-11,
Deiveson Figueiredo,1152.9215577963428,2025-10-18,
Zhang Weili,1150.6902245735323,2025-02-15,
Stipe Miocic,1150.2398034853757,2024-11-23,
Justin Gaethje,1150.10324923438,2025-03-15,
Manon Fiorot,1146.6964751377964,2025-10-25,
Grant Dawson,1144.3880034172794,2025-02-01,
Joaquin Buckley,1143.3968000895854,2025-06-21,
Movsar Evloev,1142.0826196220032,2024-12-14,
Shavkat Rakhmonov,1142.0774842531266,2024-12-14,
Robert Whittaker,1141.5768194494697,2025-08-02,
Sean O'Malley,1139.3568034223351,2025-06-14,
Ian Machado Garry,1138.883524167971,2025-05-03,
Umar Nurmagomedov,1136.598213265997,2025-11-01,
Tatiana Suarez,1135.3517325372652,2025-09-27,
Sergei Pavlovich,1133.185964203371,2025-09-06,
Jiri Prochazka,1132.8380825278748,2025-10-11,
Randy Brown,1131.5271034078676,2025-05-03,
Michael Chiesa,1129.910471872926,2025-06-21,
Joel Alvarez,1129.2992366278468,2025-10-18,
Michael Morales,1129.0367317338635,2025-05-31,
Rose Namajunas,1128.1893800582995,2025-06-21,
Aiemann Zahabi,1126.0113378136246,2025-10-25,
Mario Bautista,1124.4611785005757,2025-11-01,
Paddy Pimblett,1123.9168081410392,2025-04-26,
Natalia Silva,1123.572203115878,2025-05-17,
Diego Lopes,1123.476821503648,2025-09-27,
Song Yadong,1123.2276744070737,2025-03-01,
Azamat Murzakanov,1122.0036601739541,2025-11-01,
Neil Magny,1121.1248319785898,2025-10-04,
Mateusz Gamrot,1120.636348836775,2025-10-18,
Yair Rodriguez,1119.8026364651425,2025-04-26,
Sean Strickland,1119.4052183429155,2025-02-15,
Jailton Almeida,1119.3878534722728,2025-11-01,
Daniel Rodriguez,1119.3308776456786,2025-07-26,
Brandon Moreno,1118.7811900218417,2025-04-05,
Caio Borralho,1117.829425517613,2025-09-13,
Rinat Fakhretdinov,1117.2241412945034,2025-09-13,
Renato Moicano,1117.197764123435,2025-07-12,
Drakkar Klose,1116.003815917133,2025-08-23,
Colby Covington,1115.883439237486,2025-01-11,
Joshua Van,1113.4326509115544,2025-07-12,
Derrick Lewis,1112.5493929874824,2025-07-19,
Montel Jackson,1111.6480873918483,2025-10-18,
Tatsuro Taira,1109.7314642804074,2025-08-09,
Nathaniel Wood,1109.660426380334,2025-11-01,
Muslim Salikhov,1107.0318293540556,2025-08-02,
Jan Blachowicz,1106.0520748584877,2025-03-29,
Henry Cejudo,1105.9037856393172,2025-03-01,
Mackenzie Dern,1105.5990037838155,2025-11-01,
Israel Adesanya,1105.4195149311552,2025-02-08,
Carlos Prates,1105.3969281935385,2025-08-23,
Joe Pyfer,1104.691014615909,2025-10-11,
Youssef Zalal,1102.9250941637017,2025-10-11,
Mike Malott,1102.7825499686662,2025-10-25,
Roman Dolidze,1102.635908882343,2025-08-16,
Steve Garcia,1102.6123656820557,2025-07-19,
Brian Ortega,1102.3205559261494,2025-09-06,
Virna Jandiroba,1101.0325351294728,2025-11-01,
Farid Basharat,1100.9917262821161,2025-10-11,
Benoit Saint Denis,1098.1492301702751,2025-09-13,
Gregory Rodrigues,1097.2443232325804,2025-07-12,
Marlon Vera,1096.691314137521,2025-10-25,
Georges St-Pierre,1096.6499712563566,2017-11-11,
Gillian Robertson,1095.436888656454,2025-05-10,
Jared Cannonier,1095.1201316729089,2025-08-23,
Jasmine Jasudavicius,1094.761673471275,2025-10-25,
Gabriel Bonfim,1094.2775139976814,2025-07-19,
Chris Gutierrez,1094.2334235565338,2025-10-11,
Bryce Mitchell,1093.664967927396,2025-08-02,
Jake Matthews,1093.0693641966136,2025-10-04,
Vinicius Oliveira,1092.962030756675,2025-07-26,
Ludovit Klein,1092.4688462775375,2025-11-01,
Jose Aldo,1091.6312091541784,2025-05-17,
Dominick Reyes,1091.1940531040614,2025-10-04,
Tagir Ulanbekov,1090.7765323104913,2025-06-28,
Erin Blanchfield,1090.531469822296,2024-11-09,
Tracy Cortez,1089.9093924154029,2025-07-12,
Ricky Simon,1089.1733825658334,2025-06-21,
Vicente Luque,1088.9402399758628,2025-10-18,
Paulo Costa,1088.5470610957582,2025-07-26,
Reinier de Ridder,1088.524622875446,2025-10-25,
Gilbert Burns,1088.3543519966784,2025-05-31,
Marcin Tybura,1088.343793659884,2025-09-13,
Brandon Royval,1088.195302237537,2025-07-12,
Rob Font,1086.8101000730771,2025-09-27,
Jean Silva,1086.6843785973506,2025-09-27,
Alexander Hernandez,1086.3284437220805,2025-09-27,
Nasrat Haqparast,1085.8571609659118,2025-11-01,
Rafael Fiziev,1085.7187204630775,2025-06-28,
Waldo Cortes-Acosta,1085.7155373710489,2025-09-06,
Martin Buday,1083.5874442693041,2025-08-02,
Ikram Aliskerov,1082.8524873820413,2025-11-01,
Josh Emmett,1082.7421845381677,2025-10-11,
Bryan Battle,1082.0659064052525,2024-12-14,
Geoff Neal,1082.0110551032897,2025-08-23,
Dan Hooker,1081.820003211374,2024-08-24,
Nazim Sadykhov,1081.7073957013595,2025-06-28,
Tabatha Ricci,1081.4450896480246,2025-08-02,
Alonzo Menifield,1080.9939434265164,2025-06-21,
Kayla Harrison,1080.9289375163494,2025-06-14,
Julianna Pena,1080.6100897154483,2025-06-14,
Amanda Lemos,1079.1956298235853,2025-09-27,
Raoni Barcelos,1079.0457894891085,2025-06-21,
Khalil Rountree Jr.,1079.0136111855663,2025-10-11,
Chepe Mariscal,1078.7935281553607,2025-03-08,
Ketlen Vieira,1078.7787248925447,2025-06-07,
David Onama,1078.0094381100917,2025-05-03,
Chris Duncan,1076.9076864386054,2025-08-09,
Fares Ziam,1076.2612115025995,2025-02-08,
Norma Dumont,1075.0080279290062,2024-09-28,
Raquel Pennington,1074.4200939321531,2024-10-12,
Alexa Grasso,1074.4008227325673,2025-05-17,
Bogdan Guskov,1074.285130235999,2025-08-02,
Kelvin Gastelum,1074.230282493271,2025-09-27,
Edmen Shahbazyan,1074.0127304357,2025-10-11,
William Gomis,1073.90156804062,2025-09-13,
Yan Xiaonan,1073.7952183340208,2025-04-26,
Jack Hermansson,1073.6582601235634,2025-07-12,
Loopy Godinez,1073.4912892320103,2025-08-23,
JunYong Park,1073.1488178098598,2025-11-01,
Pat Sabatini,1071.97408478363,2025-04-12,
Melquizael Costa,1071.7929207285538,2025-05-31,
Giga Chikadze,1071.773548724794,2025-05-03,
Johnny Walker,1071.4465305261854,2025-09-06,
Michael Page,1071.015658599667,2025-08-23,
Karine Silva,1070.933020801699,2025-08-23,
Asu Almabayev,1070.7850837425765,2025-08-02,
Shara Magomedov,1070.706229870859,2025-08-02,
Rafa Garcia,1070.4076707851773,2025-09-27,
Daniel Santos,1068.4992528114938,2025-10-11,
Quillan Salkilld,1068.456141880174,2025-11-01,
Miranda Maverick,1068.3124333000294,2025-06-21,
Muhammad Naimov,1068.3110654600155,2025-06-28,
Iasmin Lucindo,1067.3090278010327,2025-08-16,
Marvin Vettori,1066.789094593339,2025-07-26,
Modestas Bukauskas,1066.3741170174203,2025-09-13,
Ignacio Bahamondes,1066.0933776640768,2025-06-28,
Marcus McGhee,1065.8743610974752,2025-08-02,
Gunnar Nelson,1064.9364979312877,2025-03-29,
Chase Hooper,1064.1267681303493,2025-08-23,
Manel Kape,1063.9681519212343,2025-03-08,
Sam Patterson,1062.9964443058182,2025-09-13,
Vitor Petrino,1062.8446799319818,2025-10-18,
Dustin Jacoby,1062.3907704708247,2025-06-07,
Mike Davis,1062.261568792363,2025-07-19,
Christian Leroy Duncan,1062.2236041306253,2025-08-16,
Sean Woodson,1061.0698945300394,2025-04-26,
Diego Ferreira,1060.7468415718258,2025-09-27,
Denise Gomes,1060.7218467890211,2025-05-31,
Tecia Pennington,1060.2977459679835,2025-05-31,
Payton Talbott,1060.2379398298604,2025-07-12,
Valter Walker,1059.6696205530834,2025-11-01,
Edson Barboza,1059.3700052062159,2025-08-23,
Kevin Holland,1058.5213213537165,2025-10-25,
Daniel Marcos,1058.3571005069125,2025-05-10,
Serghei Spivac,1058.343376924348,2025-06-14,
Khabib Nurmagomedov,1058.123878148696,2020-10-31,
Stephen Thompson,1058.0347325957248,2025-07-19,
Yana Santos,1057.9791373493701,2025-10-11,
Nursulton Ruziboev,1057.8465762165072,2025-05-31,
Mairon Santos,1057.041379821845,2025-05-31,
Rafael Estevam,1057.0085143667027,2025-08-09,
Jamahal Hill,1056.9194028497946,2025-06-28,
Chris Curtis,1056.424463803008,2025-07-19,
Tom Nolan,1056.3571188398846,2025-10-04,
Andre Lima,1056.318087650911,2025-03-22,
Jonathan Martinez,1055.385514215969,2024-11-23,
Roman Kopylov,1055.0585105645562,2025-07-26,
Brunno Ferreira,1055.008572823342,2025-07-26,
Elizeu Zaleski dos Santos,1054.8198582424834,2025-08-09,
Jairzinho Rozenstruik,1054.8002006264967,2025-02-08,
Nikita Krylov,1054.3011019239711,2025-08-02,
Rodolfo Vieira,1054.253731963998,2025-08-09,
SuYoung You,1054.0678008284387,2025-09-06,
Charles Jourdain,1053.8433909930643,2025-10-25,
Kyler Phillips,1053.7105924869284,2025-07-26,
Navajo Stirling,1053.6837898604747,2025-10-04,
Charles Johnson,1053.5635295030245,2025-09-06,
Karol Rosa,1053.5509342772737,2025-08-09,
Kai Kara-France,1053.5225850879176,2025-07-12,
Raul Rosas Jr.,1053.258378794186,2025-04-05,
Ateba Gautier,1052.918486073678,2025-10-11,
Jacqueline Cavalcanti,1052.3342247501491,2025-02-22,
Michel Pereira,1052.3309482383975,2025-09-06,
Said Nurmagomedov,1051.132221401143,2025-08-02,
Santiago Ponzinibbio,1051.0252320379068,2025-05-10,
Sam Hughes,1050.571049950778,2025-09-13,
Luana Santos,1050.2899936687816,2025-05-31,
Esteban Ribovics,1050.1312830533739,2025-08-09,
Dan Ige,1049.8981909094002,2025-07-26,
Joselyne Edwards,1049.8285391510085,2025-08-16,
Nicolas Dalby,1049.8222111619525,2025-05-03,
Julian Erosa,1049.6038828209905,2025-05-31,
Loma Lookboonmee,1049.5385241862675,2025-10-04,
MarQuel Mederos,1048.424986149761,2025-06-14,
Jean Matsumoto,1048.2364953276283,2025-08-16,
Ailin Perez,1047.9818890556455,2025-02-01,
Myktybek Orolbai,1047.6405074154582,2025-06-28,
Cub Swanson,1047.3937644108921,2025-01-11,
David Martinez,1046.7126763252775,2025-09-27,
Darren Elkins,1046.6212944631598,2025-04-26,
Tim Elliott,1046.5250021389666,2025-08-23,
Mario Pinto,1046.4452990384498,2025-10-18,
Rinya Nakamura,1046.0920509511238,2025-08-09,
Jared Gordon,1045.799881881731,2025-09-27,
Alexia Thainara,1045.5525360154393,2025-10-04,
Eduarda Moura,1045.5354080802317,2025-07-19,
Manuel Torres,1044.4403424361305,2025-04-05,
Ramiz Brahimaj,1044.3667318505873,2025-10-11,
Jessica Andrade,1044.2033251592607,2025-08-23,
Andre Fili,1043.6252274631563,2025-08-16,
Abus Magomedov,1043.5798609867763,2025-10-11,
Terrance McKinney,1043.5451278909948,2025-07-12,
Davey Grant,1043.2436507294901,2025-10-25,
Cody Garbrandt,1042.6208637918496,2025-06-21,
Jacobe Smith,1042.3885868379236,2025-07-12,
Mick Parkin,1041.9189653536084,2025-03-29,
Michal Oleksiejczuk,1041.8295895521253,2025-08-23,
Michael Johnson,1041.825364944218,2025-07-26,
Jaqueline Amorim,1041.5390121878856,2025-11-01,
Bo Nickal,1041.4905970065272,2025-05-10,
Allan Nascimento,1041.4849892831912,2025-06-07,
Drew Dober,1041.3561588565285,2025-10-25,
Chris Padilla,1041.2436470071748,2025-03-29,
Phil Rowe,1040.91618352512,2025-06-21,
Oumar Sy,1040.62800673294,2025-09-13,
Kevin Vallejos,1040.4254078301583,2025-08-09,
Mizuki,1040.3926834239228,2025-11-01,
Joanderson Brito,1040.0979816737008,2025-04-12,
Mauricio Ruffy,1039.9614743795255,2025-09-13,
Ryan Spann,1039.5169427065755,2025-07-26,
Kaue Fernandes,1039.4959807027778,2025-09-13,
Lauren Murphy,1039.4645404966795,2025-07-19,
Francis Ngannou,1038.9321707325785,2022-02-05,
Hyder Amil,1038.880576302558,2025-07-12,
Jimmy Crute,1037.9790954707908,2025-10-04,
Da'Mon Blackshear,1037.7539191850226,2025-08-02,
Zhang Mingyang,1037.419954060514,2025-09-06,
Macy Chiasson,1036.6271693042374,2025-10-11,
Amir Albazi,1036.432966172605,2024-11-09,
Andre Petroski,1036.2888782992877,2025-10-04,
Piera Rodriguez,1035.9604676937824,2025-08-09,
Joaquim Silva,1035.7334595383613,2025-09-27,
Malcolm Wellmaker,1035.6993704332642,2025-06-21,
Aleksandar Rakic,1035.2650005616622,2025-11-01,
Uros Medic,1034.8862193417951,2025-08-16,
Elijah Smith,1034.8117081917853,2025-08-16,
Rafael Dos Anjos,1034.709312626075,2024-11-02,
Carla Esparza,1034.6206836112915,2024-10-12,
Morgan Charriere,1034.6109273340849,2025-07-19,
Punahele Soriano,1034.3605013899214,2025-10-11,
Jesus Aguilar,1033.5376217344449,2025-09-27,
Alexandr Romanov,1033.2524678766192,2024-11-09,
Ante Delija,1033.1739026976568,2025-09-13,
Viviane Araujo,1032.8417164498665,2025-07-12,
Victor Henry,1032.41622289718,2025-04-12,
Steve Erceg,1032.35914715412,2025-08-16,
Khaos Williams,1032.3278531466,2025-06-14,
Andre Muniz,1032.2947287938202,2025-10-11,
Felipe Lima,1032.000926642352,2025-07-12,
Oban Elliott,1031.57089728877,2025-06-28,
Sodiq Yusuff,1030.8812314617633,2025-05-31,
Fatima Kline,1030.7371743773883,2025-07-19,
King Green,1030.563481363928,2025-03-15,
Thiago Moises,1029.9360857889315,2025-05-31,
Chidi Njokuani,1029.8427599403262,2025-07-19,
Kennedy Nzechukwu,1029.6064748909448,2025-07-19,
Kyle Nelson,1029.196836387086,2025-10-25,
Marco Tulio,1028.9739927961784,2025-04-26,
Jim Miller,1028.96681579926,2025-04-26,
Wang Cong,1028.790112552427,2025-06-14,
Mohammed Usman,1028.1543800125717,2025-06-28,
Jose Delgado,1028.0886488152025,2025-11-01,
Mason Jones,1027.9728271122835,2025-09-13,
