Fighter,Peak Elo
Georges St-Pierre,1419.194080449403
Demetrious Johnson,1372.6256147209647
Jon Jones,1323.8984013586385
Daniel Cormier,1320.0469166377688
Islam Makhachev,1289.612395018334
Kamaru Usman,1277.9943317530408
Alexander Volkanovski,1273.612707070282
Anderson Silva,1259.518875717132
Khabib Nurmagomedov,1244.851621351407
Charles Oliveira,1242.6346423960943
Merab Dvalishvili,1240.9505116078794
Belal Muhammad,1239.9848190931502
Max Holloway,1239.306884572434
Aljamain Sterling,1234.0809102609944
Dustin Poirier,1231.6091323423843
Stipe Miocic,1231.5624872692626
Israel Adesanya,1226.9809635462168
Francis Ngannou,1222.2731420383277
Ilia Topuria,1217.78960882297
Dricus Du Plessis,1215.5259371809016
Chris Weidman,1215.4007563382863
Chuck Liddell,1214.962153672942
Khamzat Chimaev,1208.5728605816696
Robert Whittaker,1208.0456320139042
Glover Teixeira,1206.4868156219648
Magomed Ankalaev,1205.1250415064599
Demian Maia,1204.326160878589
Beneil Dariush,1203.326310301838
Amanda Nunes,1203.0793979546638
Alex Pereira,1201.5130308860453
Rafael Dos Anjos,1195.5430300875244
Rashad Evans,1194.2116651266845
Leon Edwards,1192.6450512880176
Vicente Luque,1191.7291021223882
Valentina Shevchenko,1190.5336494385278
Tyron Woodley,1190.1118044355617
Frankie Edgar,1189.6407034492363
Ciryl Gane,1189.0612913130908
Henry Cejudo,1188.9061116410705
Colby Covington,1187.8302278461767
Jon Fitch,1187.4881653726823
Cain Velasquez,1186.162043741649
Curtis Blaydes,1185.1579327199975
Alexandre Pantoja,1184.9570031847304
Matt Hughes,1184.3672682800736
TJ Dillashaw,1183.834415415702
Deiveson Figueiredo,1183.8096098395442
Sean O'Malley,1182.400905058488
Gilbert Burns,1182.1950363262267
Derrick Lewis,1182.0059370550746
Jack Della Maddalena,1181.5156656884174
Yoel Romero,1181.2316044607012
Johny Hendricks,1180.2899395120237
Robbie Lawler,1179.136655107681
Nassourdine Imavov,1177.446546539623
Movsar Evloev,1177.2173257672507
Shavkat Rakhmonov,1177.2120324153407
Joseph Benavidez,1176.1084389882008
Zhang Weili,1174.9339786227697
Brendan Allen,1174.7759741767643
Michael Bisping,1174.6669547157326
Jan Blachowicz,1174.3297552747833
Sean Brady,1172.8277299815918
Justin Gaethje,1172.0001447219593
Andrei Arlovski,1171.7543161182641
Junior Dos Santos,1171.7294623098007
Neil Magny,1171.3404210831802
Arnold Allen,1171.0734618262873
Grant Dawson,1170.955402922284
Cory Sandhagen,1170.6503646723525
Arman Tsarukyan,1168.5397757819298
Derek Brunson,1168.5217997858938
Alexander Volkov,1168.1378813059926
Anthony Johnson,1167.3720736686514
