Fighter,Peak Elo,Weight Class,Record
Jon Jones,1735.5781558062588,Heavyweight,22-1-1
Georges St-Pierre,1640.2436545058138,Middleweight,20-2-0
Islam Makhachev,1628.8566179735026,Welterweight,17-1-0
Demetrious Johnson,1579.169073150761,Flyweight,15-2-1
Khabib Nurmagomedov,1537.4274918600288,Lightweight,13-0-0
Daniel Cormier,1499.5194814852223,Heavyweight,11-3-1
Alex Pereira,1488.7489345934082,Light Heavyweight,10-2-0
Kamaru Usman,1474.4881018871874,Welterweight,16-3-0
Ilia Topuria,1470.5590513459858,Lightweight,9-0-0
Henry Cejudo,1441.3132298444416,Bantamweight,10-5-0
Alexander Volkanovski,1422.8244817537818,Featherweight,14-3-0
Conor McGregor,1413.6802656260888,Lightweight,10-4-0
Michael Bisping,1406.7637102433418,Middleweight,20-9-0
Tito Ortiz,1405.0184647486994,Light Heavyweight,15-11-1
Randy Couture,1400.7783726237992,Light Heavyweight,16-8-0
Merab Dvalishvili,1400.1453731023978,Bantamweight,14-2-0
Amanda Nunes,1391.3241782459427,Women's Bantamweight,16-2-0
BJ Penn,1383.8460479659866,Lightweight,12-13-2
Pat Miletich,1374.2111496525902,Middleweight,8-2-0
Dricus Du Plessis,1359.9214972947077,Middleweight,9-1-0
Francis Ngannou,1347.7342919365033,Heavyweight,12-2-0
Frank Shamrock,1340.2413729665543,Middleweight,5-0-0
Khamzat Chimaev,1323.3322954251844,Middleweight,9-0-0
Belal Muhammad,1314.9270470193615,Welterweight,15-4-1
Magomed Ankalaev,1310.230088387773,Light Heavyweight,12-2-2
Leon Edwards,1305.7944895482551,Welterweight,14-5-1
Cain Velasquez,1300.5148022774351,Heavyweight,12-3-0
Stipe Miocic,1297.5246172489358,Heavyweight,14-5-0
Alexandre Pantoja,1294.2765006825953,Flyweight,14-3-0
Tony Ferguson,1293.0421525450204,Welterweight,15-9-0
Ciryl Gane,1292.9170118734232,Heavyweight,10-2-1
Valentina Shevchenko,1290.5730913412242,Women's Flyweight,15-3-1
Jack Della Maddalena,1289.651381467992,Welterweight,8-1-0
Tom Aspinall,1281.147157082848,Heavyweight,8-1-1
Movsar Evloev,1276.0484595401329,Featherweight,9-0-0
Nassourdine Imavov,1271.823493504954,Middleweight,9-2-1
Arnold Allen,1270.0668168379293,Featherweight,11-2-0
Sean Brady,1268.1593732709052,Welterweight,8-2-0
Shavkat Rakhmonov,1264.1581193558625,Welterweight,7-0-0
Sean O'Malley,1263.4200846612298,Bantamweight,10-3-1
Grant Dawson,1259.5104877777478,Lightweight,11-1-1
Benson Henderson,1259.336119205869,Welterweight,11-3-0
Arman Tsarukyan,1257.6133826035675,Lightweight,9-2-0
Anthony Hernandez,1256.617028042132,Middleweight,9-2-0
Lerone Murphy,1256.583288059055,Featherweight,9-0-1
Carlos Ulberg,1252.6410023063283,Light Heavyweight,9-1-0
Michael Morales,1250.9574590127802,Welterweight,7-0-0
Robert Whittaker,1249.7832044139404,Middleweight,17-7-0
Ian Machado Garry,1245.8861604015915,Welterweight,9-1-0
Rashad Evans,1242.8343180630388,Light Heavyweight,14-8-1
Royce Gracie,1241.3104772380805,Catch Weight,8-1-1
Jon Fitch,1239.6255510058802,Welterweight,14-3-1
Yoel Romero,1239.2323551496233,Middleweight,9-4-0
Brendan Allen,1237.9004573774696,Middleweight,14-4-0
Jens Pulver,1236.3103319856134,Lightweight,6-2-1
Jailton Almeida,1232.5477226438093,Heavyweight,8-2-0
Yair Rodriguez,1229.2825207818335,Featherweight,11-4-1
Caio Borralho,1226.7735369860645,Middleweight,7-1-0
Paddy Pimblett,1225.4378098542447,Lightweight,7-0-0
Carlos Prates,1225.353416099593,Welterweight,6-1-0
Don Frye,1225.0012296187479,Open Weight,9-1-0
Tim Sylvia,1224.7736974346433,Heavyweight,9-4-0
Max Holloway,1222.7703810704922,Lightweight,23-8-0
Umar Nurmagomedov,1219.5185592489163,Bantamweight,7-1-0
Joel Alvarez,1218.446451246846,Welterweight,8-2-0
Muhammad Mokaev,1216.7208394115348,Flyweight,7-0-0
Petr Yan,1216.603894163497,Bantamweight,11-4-0
Dominick Cruz,1216.5263235887912,Bantamweight,7-3-0
Aiemann Zahabi,1216.1995737822356,Bantamweight,8-2-0
TJ Dillashaw,1215.6856680361407,Bantamweight,13-5-0
Ricco Rodriguez,1214.6883391974518,Heavyweight,5-2-0
Steve Garcia,1211.64336418948,Featherweight,8-2-0
Israel Adesanya,1210.1473793080715,Middleweight,13-5-0
Azamat Murzakanov,1209.3315674995763,Light Heavyweight,6-0-0
Gregor Gillespie,1208.4761587846324,Lightweight,7-1-0
Gabriel Bonfim,1208.3945852108257,Welterweight,6-1-0
John Lineker,1207.8318570906902,Bantamweight,12-4-0
Mario Bautista,1206.1848657400924,Bantamweight,10-3-0
Zabit Magomedsharipov,1206.0130167549414,Featherweight,6-0-0
Gegard Mousasi,1205.1524909419904,Middleweight,9-3-0
Joshua Van,1205.14356339841,Flyweight,8-1-0
Jiri Prochazka,1204.000410146741,Light Heavyweight,6-2-0
Tatsuro Taira,1203.5701448206075,Flyweight,7-1-0
Diego Lopes,1201.312583942538,Featherweight,6-2-0
Dong Hyun Kim,1201.2675077485587,Welterweight,13-4-1
Song Yadong,1200.8937155989292,Bantamweight,11-3-1
Dan Severn,1199.2931682416834,Heavyweight,9-4-0
Mairbek Taisumov,1199.1672898975467,Lightweight,7-2-0
Brock Lesnar,1198.6104338710084,Heavyweight,4-3-1
Roger Huerta,1197.3361195807583,Lightweight,6-2-0
Rory MacDonald,1196.3275438242392,Welterweight,9-4-0
Rinat Fakhretdinov,1196.2986568575684,Welterweight,6-0-1
Pat Sabatini,1196.2128245497795,Featherweight,8-2-0
Jean Silva,1196.0489943951209,Featherweight,5-1-0
Waldo Cortes Acosta,1195.227703884542,Heavyweight,8-2-0
Michel Prazeres,1194.8054768205986,Welterweight,10-4-0
Bryan Battle,1194.4551277514531,Welterweight,7-1-1
Mike Malott,1191.27018724524,Welterweight,6-1-0
Reinier de Ridder,1191.152710521738,Middleweight,4-1-0
John Hathaway,1191.089426011196,Welterweight,7-2-0
Shane Carwin,1191.0575280796531,Heavyweight,4-2-0
George Sotiropoulos,1190.9607833089863,Lightweight,7-4-0
Ronda Rousey,1190.9194421463117,Women's Bantamweight,6-2-0
Mateusz Gamrot,1189.456661003329,Lightweight,8-4-0
Chuck Liddell,1189.1585235532648,Light Heavyweight,16-7-0
Farid Basharat,1188.1617838203847,Bantamweight,5-0-0
David Teymur,1187.7189776854434,Lightweight,5-1-0
Giga Chikadze,1187.4485869634962,Featherweight,8-3-0
Joe Pyfer,1187.3918459664526,Middleweight,6-1-0
Mark Kerr,1186.6215169429217,Heavyweight,4-0-0
Chepe Mariscal,1185.9444832830202,Featherweight,5-1-0
Fares Ziam,1185.8963472425467,Lightweight,7-2-0
Montel Jackson,1184.774441979054,Bantamweight,9-3-0
Rustam Khabilov,1184.6160803809732,Welterweight,10-3-0
Leonardo Santos,1184.5090765308835,Lightweight,7-3-1
Jamahal Hill,1183.0029660965056,Light Heavyweight,6-4-1
Sean Woodson,1182.923648344005,Featherweight,7-2-1
Amir Albazi,1182.7924387508426,Flyweight,5-1-0
Fabricio Werdum,1182.5503854046729,Heavyweight,12-6-0
Ryan Hall,1182.2352927224163,Featherweight,5-1-0
Sergei Pavlovich,1181.4751278129504,Heavyweight,8-3-0
Jared Rosholt,1180.6779577382151,Heavyweight,6-2-0
Rich Franklin,1179.5174233061257,Middleweight,14-6-0
Tagir Ulanbekov,1178.6850686646821,Flyweight,6-1-0
Vinicius Oliveira,1177.9534085148268,Bantamweight,4-0-0
Drakkar Klose,1177.700698871049,Lightweight,10-3-0
Martin Buday,1177.5585082171528,Heavyweight,7-1-0
Mark Coleman,1177.3220084276386,Light Heavyweight,7-5-0
Damir Ismagulov,1176.2327169524235,Lightweight,5-2-0
Phil Davis,1174.7929838064915,Light Heavyweight,9-3-1
Benoit Saint Denis,1173.3308007076162,Lightweight,8-3-0
Rafael Fiziev,1173.2586680525617,Lightweight,7-4-0
Murilo Bustamante,1172.7939853825528,Middleweight,3-1-0
Jeremiah Wells,1172.4578655902062,Welterweight,5-2-0
Elias Theodorou,1171.6824255436773,Middleweight,8-3-0
Josh Barnett,1171.639314800927,Heavyweight,7-3-0
Rashid Magomedov,1171.5465862483782,Lightweight,5-1-0
Daniel Rodriguez,1170.9869644246885,Welterweight,10-4-0
Guy Mezger,1170.2887152894543,Middleweight,4-1-0
Erik Perez,1170.204113797469,Bantamweight,7-2-0
Roman Dolidze,1169.5916559080388,Middleweight,9-4-0
Myles Jury,1168.745639096016,Featherweight,8-4-0
Mike Russow,1168.6254858631698,Heavyweight,4-2-0
William Gomis,1168.1146341015158,Featherweight,5-1-0
Shara Magomedov,1167.0942007161311,Middleweight,5-1-0
Mark Madsen,1167.0598538961976,Lightweight,4-2-0
Christian Leroy Duncan,1166.9484181086145,Middleweight,6-2-0
Asu Almabayev,1166.4084060627968,Flyweight,5-1-0
TJ Grant,1166.0340511577217,Lightweight,8-3-0
Marcus McGhee,1165.9008489661921,Bantamweight,4-1-0
Francis Carmont,1165.5377900043638,Middleweight,6-3-0
Chris Gutierrez,1164.6711847220572,Bantamweight,10-4-1
Bryce Mitchell,1164.390710390063,Bantamweight,9-3-0
Nathaniel Wood,1164.0143599205232,Featherweight,10-3-0
Gregory Rodrigues,1163.9825733405603,Middleweight,9-3-0
Chris Duncan,1163.7863382764692,Lightweight,5-1-0
Ikram Aliskerov,1163.2486978751865,Middleweight,4-1-0
Jordan Johnson,1163.230343266964,Middleweight,4-0-0
Johnny Case,1162.9410520441647,Lightweight,4-2-0
Chris Wade,1162.763198649304,Lightweight,5-2-0
Cathal Pendred,1162.4628669841609,Welterweight,4-2-0
Jerry Bohlander,1162.0044597719348,Middleweight,5-2-0
Kyoji Horiguchi,1161.8636865829017,Flyweight,7-1-0
Vitor Petrino,1161.756462175318,Heavyweight,6-2-0
Mick Parkin,1161.652558764549,Heavyweight,4-1-0
Karo Parisyan,1161.375475190097,Welterweight,8-4-1
Daniel Marcos,1161.3659051307677,Bantamweight,5-1-1
Zhang Weili,1160.8769924902272,Women's Flyweight,10-3-0
Bo Nickal,1160.7390953721501,Middleweight,5-1-0
Paulo Costa,1160.696434086485,Middleweight,7-4-0
Chris Padilla,1160.6589630748963,Lightweight,4-0-0
Matheus Nicolau,1160.4432927819669,Flyweight,7-4-0
Mairon Santos,1160.2506224485112,Lightweight,3-0-0
Andre Lima,1159.9590700066885,Flyweight,4-0-0
Laverne Clark,1159.80942301288,Welterweight,4-1-0
Tim Kennedy,1159.7006998495258,Middleweight,3-2-0
James Krause,1159.2996530646615,Welterweight,9-4-0
Justin Willis,1159.0931249757507,Heavyweight,4-1-0
Melquizael Costa,1158.589920075472,Featherweight,5-2-0
Nazim Sadykhov,1157.4374107567332,Lightweight,4-0-1
Marco Ruas,1157.3778841842548,Heavyweight,4-2-0
Muhammad Naimov,1156.2977793308055,Featherweight,5-1-0
